miner,cut_type,logP_Name,logM_Name,trace_variants_P,trace_variants_M
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_5.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_5,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_5,593.0,730.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_6.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_6,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_6,290.0,789.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_7.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_7,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_7,406.0,142.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8,681.0,746.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1,887.0,760.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10,156.0,56.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11,167.0,30.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12,613.0,809.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15,567.0,530.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17,650.0,906.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_19.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_19,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_19,636.0,492.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21,394.0,706.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22,784.0,585.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23,214.0,198.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24,309.0,70.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_26.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_26,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_26,704.0,537.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27,637.0,650.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_28.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_28,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_28,410.0,225.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29,479.0,304.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_3.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_3,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_3,492.0,507.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_5.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_5,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_5,712.0,421.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_6.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_6,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_6,443.0,167.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_8.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_8,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_8,372.0,35.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9,349.0,201.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_1.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_1,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_1,731.0,392.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10,622.0,568.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_11.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_11,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_11,661.0,568.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_12.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_12,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_12,658.0,584.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_13.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_13,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_13,700.0,751.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15,518.0,604.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_16.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_16,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_16,599.0,588.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17,402.0,55.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_18.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_18,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_18,690.0,691.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_19.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_19,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_19,59.0,21.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_2.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_2,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_2,721.0,958.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_20.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_20,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_20,234.0,33.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_21.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_21,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_21,369.0,292.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_22.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_22,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_22,624.0,633.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_23.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_23,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_23,221.0,126.0
GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_25.xes,par,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_25,GNN_partitioning\GNN_Data\par\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_25,774.0,546.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_1.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_1,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_1,103.0,111.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_10.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_10,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_10,51.0,15.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11,59.0,15.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12,147.0,39.0
